players_id,games_id,id,competitions_id,clubs_id,goals,assists,minutes_played,yellow_cards,red_cards
62026,2469414,2469414_62026,DK1,1177,0,0,90,0,0
62026,2469422,2469422_62026,DK1,1177,0,0,90,0,0
44717,2469414,2469414_44717,DK1,1177,0,0,83,0,0
44717,2469422,2469422_44717,DK1,1177,0,0,90,0,0
155617,2469414,2469414_155617,DK1,1177,0,0,90,0,0
155617,2469422,2469422_155617,DK1,1177,0,0,90,0,0
23389,2469197,2469197_23389,ELQ,1101,0,0,90,0,0
23389,2473643,2473643_23389,ELQ,1101,0,0,104,0,0
23389,2479047,2479047_23389,ELQ,1101,0,0,36,0,0
83882,2469413,2469413_83882,DK1,5818,0,1,35,0,0
234375,2469413,2469413_234375,DK1,5818,0,0,55,0,0
234375,2469420,2469420_234375,DK1,5818,0,0,90,0,0
89188,2469413,2469413_89188,DK1,5818,2,0,90,0,0
83882,2469420,2469420_83882,DK1,5818,0,0,37,0,0
89188,2469420,2469420_89188,DK1,5818,0,0,90,0,0
48868,2469413,2469413_48868,DK1,5818,0,1,68,1,0
110271,2469413,2469413_110271,DK1,5818,0,0,90,0,0
48868,2469420,2469420_48868,DK1,5818,0,0,53,0,0
110271,2469420,2469420_110271,DK1,5818,0,0,70,0,0
22902,2469413,2469413_22902,DK1,5818,0,0,22,0,0
22902,2469420,2469420_22902,DK1,5818,0,0,20,0,0
62402,2469413,2469413_62402,DK1,5818,0,0,81,0,0
62402,2469420,2469420_62402,DK1,5818,1,0,90,0,0
40023,2469413,2469413_40023,DK1,5818,0,0,90,0,0
22519,2479066,2479066_22519,ELQ,206,0,0,76,0,0
40023,2469420,2469420_40023,DK1,5818,0,0,88,0,0
22519,2469415,2469415_22519,DK1,206,0,0,11,0,0
22519,2469422,2469422_22519,DK1,206,0,0,30,0,0
136142,2460507,2460507_136142,ELQ,271,0,0,80,0,0
136142,2460545,2460545_136142,ELQ,271,0,0,90,0,0
136142,2469206,2469206_136142,ELQ,271,0,0,90,1,0
136142,2473664,2473664_136142,ELQ,271,0,1,90,1,0
14962,2469414,2469414_14962,DK1,1177,0,0,12,0,0
14962,2469422,2469422_14962,DK1,1177,0,0,45,0,0
48897,2469414,2469414_48897,DK1,1177,0,0,7,0,0
48897,2469422,2469422_48897,DK1,1177,0,0,19,0,0
47769,2469414,2469414_47769,DK1,1177,0,0,78,0,0
47769,2469422,2469422_47769,DK1,1177,0,0,45,0,0
77259,2469411,2469411_77259,DK1,2778,0,0,90,0,0
98215,2469413,2469413_98215,DK1,5818,0,0,90,0,0
98215,2469420,2469420_98215,DK1,5818,0,0,90,0,0
103433,2469413,2469413_103433,DK1,5818,0,0,90,0,0
103433,2469420,2469420_103433,DK1,5818,0,0,90,0,0
15049,2469413,2469413_15049,DK1,5818,0,0,9,0,0
15049,2469420,2469420_15049,DK1,5818,0,0,2,0,0
20841,2469413,2469413_20841,DK1,5818,0,0,90,0,0
103128,2469413,2469413_103128,DK1,5818,0,0,90,0,0
20841,2469420,2469420_20841,DK1,5818,0,0,90,1,0
103128,2469420,2469420_103128,DK1,5818,0,0,90,1,0
141344,2460606,2460606_141344,CLQ,1189,0,0,5,0,0
141344,2460620,2460620_141344,CLQ,1189,0,0,17,0,0
62678,2469413,2469413_62678,DK1,5818,0,0,90,0,0
62678,2469420,2469420_62678,DK1,5818,0,0,90,0,0
182284,2469414,2469414_182284,DK1,1177,0,0,90,0,0
20843,2469414,2469414_20843,DK1,1177,0,0,90,0,0
182284,2469422,2469422_182284,DK1,1177,0,0,71,0,0
20843,2469422,2469422_20843,DK1,1177,0,0,90,0,0
265040,2469414,2469414_265040,DK1,1177,0,0,90,0,0
265040,2469422,2469422_265040,DK1,1177,0,0,90,0,0
89197,2469414,2469414_89197,DK1,1177,0,0,90,0,0
89197,2469422,2469422_89197,DK1,1177,0,0,90,0,0
37227,2469414,2469414_37227,DK1,1177,0,0,90,0,0
37227,2469422,2469422_37227,DK1,1177,0,0,90,0,0
46004,2469414,2469414_46004,DK1,1177,0,0,40,0,0
46004,2469422,2469422_46004,DK1,1177,0,0,4,0,0
22495,2469414,2469414_22495,DK1,1177,0,0,50,0,0
22495,2469422,2469422_22495,DK1,1177,0,0,86,0,0
15125,2469414,2469414_15125,DK1,1177,0,0,90,0,0
15125,2469422,2469422_15125,DK1,1177,0,0,90,0,0
47571,2460577,2460577_47571,ELQ,7769,0,0,58,0,0
47571,2460584,2460584_47571,ELQ,7769,0,0,69,0,0
47571,2479057,2479057_47571,ELQ,7769,0,0,55,0,0
53228,2460598,2460598_53228,CLQ,713,0,0,70,0,0
53228,2460612,2460612_53228,CLQ,713,1,0,62,1,0
53228,2478423,2478423_53228,CLQ,713,0,0,90,0,0
349917,3376111,3376111_349917,RUP,19958,0,0,90,0,0
349917,3283404,3283404_349917,RUP,19958,0,0,90,1,0
78332,2469212,2469212_78332,ELQ,10695,0,0,77,0,0
78332,2473645,2473645_78332,ELQ,10695,1,0,85,0,0
78332,2479062,2479062_78332,ELQ,10695,0,1,90,0,0
94922,2477177,2477177_94922,UKR1,6993,0,0,90,0,0
44084,2460600,2460600_44084,CLQ,10157,0,0,90,0,0
44084,2460613,2460613_44084,CLQ,10157,0,0,90,0,0
44084,2478424,2478424_44084,CLQ,10157,1,0,90,0,0
27017,2460509,2460509_27017,ELQ,10482,0,0,90,0,0
27017,2460547,2460547_27017,ELQ,10482,0,0,90,0,0
27017,2469189,2469189_27017,ELQ,10482,0,0,90,0,0
27017,2473673,2473673_27017,ELQ,10482,0,0,90,0,0
153735,2460508,2460508_153735,ELQ,18506,1,0,90,0,0
153735,2460546,2460546_153735,ELQ,18506,1,0,90,0,0
153735,2469209,2469209_153735,ELQ,18506,0,0,90,0,0
153735,2473637,2473637_153735,ELQ,18506,0,0,58,1,0
153735,2479050,2479050_153735,ELQ,18506,0,0,90,0,0
162569,2479052,2479052_162569,ELQ,416,0,0,20,0,0
46415,2460608,2460608_46415,CLQ,419,0,1,90,1,0
46415,2478434,2478434_46415,CLQ,419,0,0,45,0,0
87162,2479066,2479066_87162,ELQ,206,0,0,90,0,0
87162,2469415,2469415_87162,DK1,206,1,0,90,1,0
87162,2469422,2469422_87162,DK1,206,0,0,90,0,0
23345,2479052,2479052_23345,ELQ,416,1,0,70,0,0
167501,2479067,2479067_167501,ELQ,3060,0,0,22,0,0
47513,2469188,2469188_47513,ELQ,144,0,0,57,0,0
47513,2473666,2473666_47513,ELQ,144,0,0,69,1,0
47513,2479061,2479061_47513,ELQ,144,0,0,68,0,0
73846,2478430,2478430_73846,CLQ,3057,0,0,29,0,0
87463,2479052,2479052_87463,ELQ,416,2,0,90,0,0
63899,2465477,2465477_63899,CLQ,197,0,2,69,0,0
63899,2478421,2478421_63899,CLQ,197,0,1,90,1,0
55978,2460600,2460600_55978,CLQ,663,0,0,66,0,0
55978,2460613,2460613_55978,CLQ,663,0,0,63,0,0
55976,2460600,2460600_55976,CLQ,663,0,0,90,0,0
55976,2460613,2460613_55976,CLQ,663,0,0,90,1,0
17976,2469193,2469193_17976,ELQ,829,0,0,82,0,0
73097,2479052,2479052_73097,ELQ,416,0,0,84,0,0
22203,2479052,2479052_22203,ELQ,416,0,1,90,0,0
201040,2479052,2479052_201040,ELQ,416,0,0,16,0,0
42345,2479052,2479052_42345,ELQ,416,0,1,62,0,1
