id,clubs_id
118397,10
123683,10
147038,10
152317,10
185164,10
189073,10
216804,10
247555,10
264304,10
275423,10
279064,10
284010,10
285951,10
28947,10
294534,10
307052,10
317740,10
333516,10
334186,10
334221,10
340521,10
366974,10
377387,10
392139,10
403808,10
477109,10
504147,10
511246,10
519414,10
52530,10
533295,10
606301,10
606307,10
606308,10
68410,10
697144,10
74856,10
78147,10
85000,10
85660,10
85941,10
10003,1003
10501,1003
111051,1003
121269,1003
128906,1003
163532,1003
16911,1003
16947,1003
184397,1003
197838,1003
203026,1003
214056,1003
215876,1003
218086,1003
224673,1003
229970,1003
246579,1003
246968,1003
249565,1003
257293,1003
262226,1003
27053,1003
271997,1003
274839,1003
284763,1003
2857,1003
294057,1003
295330,1003
295652,1003
298240,1003
2998,1003
314284,1003
314372,1003
320141,1003
3273,1003
3296,1003
33065,1003
3357,1003
341501,1003
341993,1003
344605,1003
365172,1003
37442,1003
383152,1003
395797,1003
398065,1003
406040,1003
40611,1003
413220,1003
420808,1003
42412,1003
425026,1003
427691,1003
461882,1003
475188,1003
475411,1003
48411,1003
486144,1003
49101,1003
505194,1003
511813,1003
54890,1003
583258,1003
610653,1003
61560,1003
6636,1003
670987,1003
714458,1003
73522,1003
99331,1003
124002,1005
134369,1005
160561,1005
164231,1005
180805,1005
215167,1005
286259,1005
297367,1005
349719,1005
387112,1005
392516,1005
395295,1005
454667,1005
51736,1005
537142,1005
542570,1005
542571,1005
542572,1005
550116,1005
600041,1005
60128,1005
621277,1005
621282,1005
62415,1005
642967,1005
696996,1005
70689,1005
75327,1005
79242,1005
88595,1005
88684,1005
100507,1010
107427,1010
120186,1010
120565,1010
128900,1010
135057,1010
13572,1010
14081,1010
162395,1010
177771,1010
19059,1010
192875,1010
223790,1010
252345,1010
255744,1010
26456,1010
27114,1010
286949,1010
289846,1010
290017,1010
290788,1010
308801,1010
346472,1010
35583,1010
365544,1010
3668,1010
371436,1010
37941,1010
38145,1010
39037,1010
396165,1010
409106,1010
410225,1010
412596,1010
424051,1010
442337,1010
448854,1010
44983,1010
453575,1010
459463,1010
46001,1010
46477,1010
467599,1010
470128,1010
476532,1010
479939,1010
479944,1010
479945,1010
486477,1010
499604,1010
50174,1010
503762,1010
503795,1010
504542,1010
504966,1010
506213,1010
533083,1010
538006,1010
59606,1010
60577,1010
626724,1010
635336,1010
646997,1010
65477,1010
66518,1010
69001,1010
69912,1010
711247,1010
733495,1010
73484,1010
74943,1010
76467,1010
76799,1010
81512,1010
91059,1010
9966,1010
110925,1025
111893,1025
115989,1025
119115,1025
126673,1025
140206,1025
144779,1025
149526,1025
16137,1025
167796,1025
167895,1025
187245,1025
207715,1025
21780,1025
218306,1025
227347,1025
230611,1025
237658,1025
240897,1025
240961,1025
245049,1025
247377,1025
286938,1025
319727,1025
32816,1025
33571,1025
338100,1025
338101,1025
338107,1025
339866,1025
