players_id,games_id,id,competitions_id,clubs_id,goals,assists,minutes_played,yellow_cards,red_cards
197300,3651139,3651139_197300,CL,506,0,1,82,0,0
197300,3614709,3614709_197300,IT1,506,0,1,90,0,0
362842,3651139,3651139_362842,CL,506,0,0,90,0,0
362842,3614709,3614709_362842,IT1,506,0,0,61,0,0
44058,3614709,3614709_44058,IT1,506,0,0,90,0,0
79960,3651139,3651139_79960,CL,506,0,0,90,0,0
326031,3614709,3614709_326031,IT1,506,0,0,90,0,0
79960,3614709,3614709_79960,IT1,506,0,0,29,0,0
110923,3651139,3651139_110923,CL,506,0,0,90,0,0
39983,3651139,3651139_39983,CL,506,0,0,90,0,0
39983,3614709,3614709_39983,IT1,506,0,0,90,0,0
182913,3651139,3651139_182913,CL,506,0,0,90,1,0
182913,3614709,3614709_182913,IT1,506,0,0,90,0,0
718318,3580209,3580209_718318,DK1,1063,0,0,65,1,0
589139,3580209,3580209_589139,DK1,1063,0,1,64,0,0
360517,3580209,3580209_360517,DK1,1063,0,0,15,0,0
202570,3580209,3580209_202570,DK1,1063,0,0,90,0,0
528451,3580209,3580209_528451,DK1,1063,0,0,75,0,0
250464,3580209,3580209_250464,DK1,1063,0,0,3,0,0
97503,3580209,3580209_97503,DK1,1063,1,0,87,0,0
457979,3580209,3580209_457979,DK1,1063,0,0,90,0,0
357917,3580209,3580209_357917,DK1,1063,0,0,26,0,0
104918,3580209,3580209_104918,DK1,1063,0,0,90,0,0
196126,3580209,3580209_196126,DK1,1063,0,1,90,1,0
410897,3580209,3580209_410897,DK1,1063,0,0,90,0,0
166460,3580209,3580209_166460,DK1,1063,0,0,90,1,0
22328,3614539,3614539_22328,IT1,1038,0,0,90,0,0
84765,3614539,3614539_84765,IT1,6574,0,0,68,1,0
271966,3612996,3612996_271966,TR1,141,0,0,65,0,0
109217,3612996,3612996_109217,TR1,6890,0,0,90,0,0
465606,3612996,3612996_465606,TR1,141,0,0,24,0,0
57162,3612996,3612996_57162,TR1,141,0,0,66,0,0
429551,3612996,3612996_429551,TR1,141,0,0,90,0,0
382528,3612996,3612996_382528,TR1,141,0,0,84,1,0
469787,3612996,3612996_469787,TR1,141,0,0,90,0,0
16135,3612996,3612996_16135,TR1,141,0,0,6,0,0
462348,3612996,3612996_462348,TR1,141,1,0,25,0,0
248219,3612996,3612996_248219,TR1,141,0,0,24,0,0
52119,3612996,3612996_52119,TR1,141,0,0,65,0,0
295810,3612996,3612996_295810,TR1,141,0,1,90,1,0
162961,3614539,3614539_162961,IT1,1038,0,0,66,0,0
439022,3612996,3612996_439022,TR1,141,0,0,90,1,0
282460,3612996,3612996_282460,TR1,141,0,0,90,0,0
422951,3612996,3612996_422951,TR1,141,0,0,90,0,0
117586,3612996,3612996_117586,TR1,141,0,0,25,0,0
110708,3612996,3612996_110708,TR1,6890,0,0,37,1,0
48119,3612996,3612996_48119,TR1,6890,0,0,12,0,0
54177,3612996,3612996_54177,TR1,6890,0,0,90,0,0
110695,3612996,3612996_110695,TR1,6890,0,0,53,0,0
55605,3612996,3612996_55605,TR1,6890,0,1,78,0,0
182323,3612996,3612996_182323,TR1,6890,0,0,12,0,0
312678,3612996,3612996_312678,TR1,6890,0,0,90,2,0
674612,3612996,3612996_674612,TR1,6890,0,0,90,1,0
112062,3612996,3612996_112062,TR1,6890,0,0,37,0,0
540941,3614539,3614539_540941,IT1,1038,0,0,85,0,0
59631,3612996,3612996_59631,TR1,6890,0,0,53,1,0
226524,3614539,3614539_226524,IT1,1038,0,0,90,1,0
94199,3612996,3612996_94199,TR1,6890,0,0,78,0,0
249952,3612996,3612996_249952,TR1,6890,0,0,90,0,0
144143,3614539,3614539_144143,IT1,1038,0,0,90,1,0
49275,3614539,3614539_49275,IT1,1038,0,0,85,0,0
330871,3612996,3612996_330871,TR1,6890,0,0,90,1,0
25488,3614539,3614539_25488,IT1,1038,0,0,90,0,0
574495,3614539,3614539_574495,IT1,1038,0,0,24,0,0
45340,3612996,3612996_45340,TR1,6890,0,0,1,0,0
284595,3614539,3614539_284595,IT1,1038,0,0,90,0,0
174733,3614539,3614539_174733,IT1,1038,0,0,90,0,0
81789,3614539,3614539_81789,IT1,1038,0,0,90,0,0
324282,3614539,3614539_324282,IT1,1038,0,0,5,0,0
256339,3614539,3614539_256339,IT1,1038,0,0,90,0,0
35249,3612996,3612996_35249,TR1,6890,1,0,90,1,0
99180,3614709,3614709_99180,IT1,1025,0,0,5,0,0
394346,3614709,3614709_394346,IT1,1025,0,0,11,0,0
41384,3614709,3614709_41384,IT1,1025,0,0,90,0,0
82048,3614709,3614709_82048,IT1,1025,0,0,11,0,0
85393,3614709,3614709_85393,IT1,1025,0,0,5,0,0
63186,3614709,3614709_63186,IT1,1025,0,0,85,0,0
33571,3614709,3614709_33571,IT1,1025,0,0,45,0,0
486624,3614709,3614709_486624,IT1,1025,0,0,79,0,0
126673,3614709,3614709_126673,IT1,1025,0,0,90,0,0
591949,3614709,3614709_591949,IT1,1025,0,0,85,0,0
60889,3614709,3614709_60889,IT1,1025,0,0,90,0,0
80894,3614709,3614709_80894,IT1,1025,0,0,90,0,0
368891,3614709,3614709_368891,IT1,1025,0,0,90,0,0
342405,3614709,3614709_342405,IT1,1025,0,0,79,0,0
405885,3614539,3614539_405885,IT1,6574,0,0,78,0,0
163222,3614539,3614539_163222,IT1,6574,0,0,22,0,0
394300,3614539,3614539_394300,IT1,6574,0,0,86,0,0
315867,3614539,3614539_315867,IT1,6574,0,0,12,0,0
290862,3614539,3614539_290862,IT1,6574,0,0,90,0,0
94307,3614539,3614539_94307,IT1,6574,0,0,90,0,0
7093,3614539,3614539_7093,IT1,6574,0,0,4,0,0
